param m := 153;

param W :=
    1  2
    2  4
    3  6
    4  7
    5  9
    6  10
    7  12
    8  13
    9  14
    10 16
    11 17
    12 19
    13 20
    14 22
    15 23
    16 24
    17 25
    18 28
    19 29
    20 30
    21 32
    22 33
    23 35
    24 36
    25 37
    26 38
    27 39
    28 40
    29 41
    30 42
    31 43
    32 44
    33 46
    34 47
    35 48
    36 49
    37 50
    38 51
    39 53
    40 54
    41 55
    42 57
    43 58
    44 59
    45 60
    46 62
    47 63
    48 64
    49 65
    50 67;

param V :=
    1  1
    2  2
    3  3
    4  7
    5  10
    6  15
    7  16
    8  17
    9  19
    10 21
    11 22
    12 23
    13 25
    14 27
    15 28
    16 30
    17 31
    18 33
    19 34
    20 36
    21 38
    22 39
    23 41
    24 42
    25 43
    26 45
    27 47
    28 48
    29 49
    30 50
    31 51
    32 52
    33 53
    34 54
    35 55
    36 56
    37 58
    38 59
    39 60
    40 62
    41 63
    42 64
    43 66
    44 67
    45 68
    46 69
    47 70
    48 72
    49 73
    50 75;
